Gdzie mieszkaj¹ nietoperze?;W jaskiniach;W dziuplach;W gniazdach
Dlaczego topniej¹ lodowce?;Przez efekt cieplarniany;Przez wzrost temperatury s³oñca;Przez zbyt mocne ogrzewanie domów i szkó³
Z czego zbudowane s¹ chmury?;Z maleñkich kropelek wody i kryszta³ków lodu;Z dymu;Z py³u
Które zwierzêta wykorzystuj¹ swoje zêby do budowy tamy?;Bobry;£asice;Wydry
Co znajduje siê w Egipcie?;Piramidy;Wie¿a Eiffla;Statua Wolnoœci
Który grzyb jest truj¹cy?;Muchomor;Borowik;Maœlak
Jakie roœliny rosn¹ w wodzie?;Lilie;Stokrotki;Eukaliptusy
Kiedy wyginê³y dinozaury?;65 milionów lat temu;3 tysi¹ce lat temu;Milion lat temu
Gdzie mieszkaj¹ nietoperze?;W jaskiniach;W dziuplach;W gniazdach
Dlaczego topniej¹ lodowce?;Przez efekt cieplarniany;Przez wzrost temperatury s³oñca;Przez zbyt mocne ogrzewanie domów i szkó³
