Gdzie mieszkają nietoperze?;W jaskiniach;W dziuplach;W gniazdach
Dlaczego topnieją lodowce?;Przez efekt cieplarniany;Przez wzrost temperatury słońca;Przez zbyt mocne ogrzewanie domów i szkół
Z czego zbudowane są chmury?;Z maleńkich kropelek wody i kryształków lodu;Z dymu;Z pyłu
Które zwierzęta wykorzystują swoje zęby do budowy tamy?;Bobry;Łasice;Wydry
Co znajduje się w Egipcie?;Piramidy;Wieża Eiffla;Statua Wolności
Który grzyb jest trujący?;Muchomor;Borowik;Maślak
Jakie rośliny rosną w wodzie?;Lilie;Stokrotki;Eukaliptusy
Kiedy wyginęły dinozaury?;65 milionów lat temu;3 tysiące lat temu;Milion lat temu
Najdłuższą rzeką Polski jest:;Wisła;Odra;Warta
Machina ze średniowiecza służąca do rozbijania bram to:;Taran;Katapulta;Czekan
Ile razy większe jest Słońce od Ziemi?;109;1270;7
Jakie jest najszybsze zwierzę na ziemi?;Gepard;Lew;Tygrys
Jakie jest najgłośniejsze zwierzę na ziemi?;Płetwal błękitny;Papuga;Wyjec
Na jaką głębokość nurkuje wieloryb?;1500m;100m;9500m
Gdzie znajduje się najwyższy szczyt na świecie?;Nepal;Austria;Pakistan
Kto odkrył Amerykę?;Krzysztof Kolumb;Mikołaj Kopernik;Ferdynand Magellan
Na którym kontynencie występuje najwięcej lwów?;W Afryce;W Ameryce Południowej;W Azji
Które ptaki potrafią fruwać do tyłu?;Kolibry;Słowiki chińskie;Szpaki
Do czego kangury używają swoich ogonów?;Do utrzymania lepszego balansu podczas skoków;Do szybszego pływania;Do obrony swojego potomstwa
Która istota morska śpi z jednym otwartym okiem?;Delfin;Wieloryb;Krab
Jaki procent swojego życia przesypia leniwiec?;80%;50%;15%
Jaką nazwę nosi najdroższa przyprawa świata?;Szafran;Wanilia;Cynamon
Ile wzrostu miał najwyższy człowiek na świecie?;272cm;201cm;350cm
Ile lat miał najstarszy człowiek świata?;122 lata;105 lat;165 lata
Jaki jest rekord prędkości samochodu produkowanego seryjnie?;435 km/h;728 km/h;287km/h
Ile ramion ma ośmiornica?;osiem;dziewięć, a jedno malutkie;czternaście
Dlaczego kangury mają torbę na brzuchu?;bo noszą w niej dzieci;bo gromadzą w niej pokarm;bo noszą w niej dokumenty
Co oznacza potoczne wyrażenie „czarny koń”?;niespodziewany zwycięzca;szczęśliwy los na loterii;przegrany
Kto to jest łasuch?;osoba uwielbiająca słodycze;ciamajda;osoba polująca na zwierzęta
Starożytni Egipcjanie wierzyli, że Ziemia jest:;płaska;okrągła;kwadratowa
Najwięcej diamentów wydobywa się w:;Afryce;Ameryce;Azji
